Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
126924332,9/1/2021 0:36,9/1/2021 0:44,71214,484,1039,Atwood St & Bates St,1034,Ellsworth Ave & N Neville St,Subscriber
126944847,9/1/2021 5:50,9/1/2021 5:59,71189,562,49401,Stanton Ave & N Negley Ave,1024,S Negley Ave & Baum Blvd,Subscriber
126951843,9/1/2021 7:17,9/1/2021 7:38,70401,1240,1072,Glasshouse,1086,Technology Dr & Bates St ,Subscriber
126954614,9/1/2021 7:48,9/1/2021 14:05,70765,22640,1044,Zulema St & Coltart Ave,1045,S 27th St & Sidney St. (Southside Works),Subscriber
126957946,9/1/2021 8:25,9/1/2021 8:29,70981,260,1045,S 27th St & Sidney St. (Southside Works),1086,Technology Dr & Bates St ,Subscriber
126960384,9/1/2021 8:51,9/1/2021 8:58,70983,441,1007,Stevenson St & Forbes Ave,1002,Third Ave & Wood St,Subscriber
126960852,9/1/2021 8:55,9/1/2021 9:02,70347,397,1047,S 22nd St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Customer
126961177,9/1/2021 8:59,9/1/2021 9:04,71204,344,49301,Centre Ave & N Craig St,1099,Forbes Ave & S Craig St,Subscriber
126965984,9/1/2021 9:42,9/1/2021 9:53,70442,699,1084,Hot Metal St & Tunnel Blvd,1074,South Side Trail & S 4th St,Subscriber
126967086,9/1/2021 9:51,9/1/2021 10:14,70643,1407,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
126967949,9/1/2021 9:58,9/1/2021 9:59,70737,73,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
126971764,9/1/2021 10:25,9/1/2021 12:36,70535,7830,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Subscriber
126973140,9/1/2021 10:35,9/1/2021 10:50,70962,912,1032,Walnut St & College St,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Subscriber
126973353,9/1/2021 10:36,9/1/2021 12:56,70983,8423,1002,Third Ave & Wood St,1002,Third Ave & Wood St,Subscriber
126974669,9/1/2021 10:45,9/1/2021 10:54,70960,533,1026,Penn Ave & S Whitfield St,49401,Stanton Ave & N Negley Ave,Subscriber
126975041,9/1/2021 10:48,9/1/2021 10:54,70701,405,1020,42nd & Penn Ave.,1060,Penn Ave & 29th St,Subscriber
126976439,9/1/2021 10:57,9/1/2021 11:05,70778,509,1088,Frazier St & Dawson St,1041,Fifth Ave & S Bouquet St,Subscriber
126976771,9/1/2021 10:59,9/1/2021 11:19,70950,1182,1069,Beacon St & Murray Ave,1094,O'Hara St & Desoto St,Subscriber
126977682,9/1/2021 11:05,9/1/2021 11:11,70834,389,1044,Zulema St & Coltart Ave,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
126977943,9/1/2021 11:07,9/1/2021 11:11,70773,295,1093,S Bouquet Ave & Sennott St,1044,Zulema St & Coltart Ave,Subscriber
126977946,9/1/2021 11:07,9/1/2021 11:12,70505,297,1093,S Bouquet Ave & Sennott St,1044,Zulema St & Coltart Ave,Subscriber
126980258,9/1/2021 11:20,9/1/2021 11:28,71173,498,49671,9th St & Penn Ave,49611,24th St & Smallman St,Customer
126984904,9/1/2021 11:47,9/1/2021 11:53,70246,313,1050,Healthy Ride Hub,,BIKE 70246,Customer
126985479,9/1/2021 11:51,9/1/2021 12:01,71168,601,1007,Stevenson St & Forbes Ave,1001,Forbes Ave & Market Square,Customer
126985585,9/1/2021 11:52,9/1/2021 12:01,70900,563,1007,Stevenson St & Forbes Ave,1001,Forbes Ave & Market Square,Customer
126985902,9/1/2021 11:54,9/1/2021 11:55,70246,61,,BIKE 70246,1061,33rd St & Penn Ave ,Customer
126986261,9/1/2021 11:56,9/1/2021 15:51,70563,14127,1048,S 18th St & Sidney St,1052,McAnulty Dr & Forbes Ave,Subscriber
126987108,9/1/2021 12:01,9/2/2021 8:20,70966,73121,1001,Forbes Ave & Market Square,1007,Stevenson St & Forbes Ave,Customer
126987152,9/1/2021 12:01,9/1/2021 16:58,70761,17777,1001,Forbes Ave & Market Square,1007,Stevenson St & Forbes Ave,Customer
126987942,9/1/2021 12:07,9/1/2021 12:10,70690,232,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
126990495,9/1/2021 12:22,9/1/2021 12:37,70690,856,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
126991012,9/1/2021 12:26,9/2/2021 13:28,70940,90115,49401,Stanton Ave & N Negley Ave,1051,Transit,Customer
126991087,9/1/2021 12:26,9/2/2021 13:29,70960,90170,49401,Stanton Ave & N Negley Ave,1051,Transit,Customer
126992132,9/1/2021 12:33,9/1/2021 13:22,70644,2900,1000,Liberty Ave & Stanwix St,1000,Liberty Ave & Stanwix St,Customer
126992343,9/1/2021 12:35,9/1/2021 12:40,70773,297,1044,Zulema St & Coltart Ave,1093,S Bouquet Ave & Sennott St,Subscriber
126992377,9/1/2021 12:35,9/1/2021 12:40,70505,286,1044,Zulema St & Coltart Ave,1093,S Bouquet Ave & Sennott St,Subscriber
126993102,9/1/2021 12:40,9/1/2021 12:41,70690,88,1050,Healthy Ride Hub,,BIKE 70690,Customer
126993335,9/1/2021 12:41,9/1/2021 12:45,70246,206,1061,33rd St & Penn Ave ,1060,Penn Ave & 29th St,Customer
126993894,9/1/2021 12:45,9/1/2021 14:36,70762,6688,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Subscriber
126994211,9/1/2021 12:47,9/1/2021 15:58,70930,11485,1039,Atwood St & Bates St,49301,Centre Ave & N Craig St,Subscriber
126994460,9/1/2021 12:48,9/1/2021 12:56,70202,444,1038,Boulevard of the Allies & Parkview Ave,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
126994762,9/1/2021 12:50,9/1/2021 13:04,70679,843,1059,Burns White Center at 3 Crossings,1001,Forbes Ave & Market Square,Customer
126994894,9/1/2021 12:51,9/1/2021 12:54,70834,191,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1091,Semple St & Louisa St,Subscriber
126995806,9/1/2021 12:57,9/1/2021 13:01,70773,221,1093,S Bouquet Ave & Sennott St,1097,Tennyson Ave & Fifth Ave,Subscriber
126996619,9/1/2021 13:03,9/1/2021 13:13,70834,596,1091,Semple St & Louisa St,1097,Tennyson Ave & Fifth Ave,Subscriber
126997111,9/1/2021 13:07,9/1/2021 13:08,71166,61,1066,N Homewood Ave & Finance St (Homewood Station),1066,N Homewood Ave & Finance St (Homewood Station),Customer
126998214,9/1/2021 13:15,9/1/2021 13:30,70831,909,1028,Penn Ave & Putnam St (Bakery Square),,BIKE 70831,Subscriber
126998391,9/1/2021 13:16,9/1/2021 13:34,70124,1064,1059,Burns White Center at 3 Crossings,1010,10th St & Penn Ave,Customer
127000077,9/1/2021 13:30,9/1/2021 13:38,70701,485,1060,Penn Ave & 29th St,1061,33rd St & Penn Ave ,Customer
127000184,9/1/2021 13:31,9/1/2021 13:39,70505,491,1093,S Bouquet Ave & Sennott St,1088,Frazier St & Dawson St,Subscriber
127002198,9/1/2021 13:48,9/1/2021 13:49,70785,91,1050,Healthy Ride Hub,1061,33rd St & Penn Ave ,Customer
127002572,9/1/2021 13:51,9/1/2021 13:52,70785,88,1061,33rd St & Penn Ave ,1061,33rd St & Penn Ave ,Customer
127002651,9/1/2021 13:52,9/1/2021 14:03,70744,703,1020,42nd & Penn Ave.,1023,Liberty Ave & Baum Blvd,Subscriber
127003210,9/1/2021 13:57,9/1/2021 14:05,70466,475,1037,Frew St & Schenley Dr,1038,Boulevard of the Allies & Parkview Ave,Subscriber
127003804,9/1/2021 14:02,9/1/2021 14:06,70707,235,1094,O'Hara St & Desoto St,1039,Atwood St & Bates St,Subscriber
127003969,9/1/2021 14:04,9/1/2021 14:09,70677,325,1038,Boulevard of the Allies & Parkview Ave,1093,S Bouquet Ave & Sennott St,Subscriber
127004399,9/1/2021 14:08,9/1/2021 14:12,70347,270,1045,S 27th St & Sidney St. (Southside Works),1047,S 22nd St & E Carson St,Customer
127005010,9/1/2021 14:13,9/1/2021 14:24,70677,617,1093,S Bouquet Ave & Sennott St,1088,Frazier St & Dawson St,Subscriber
127005196,9/1/2021 14:15,9/1/2021 16:40,70367,8680,1031,Maryland Ave & Ellsworth Ave,1033,Ivy St & Walnut St   ,Subscriber
127005399,9/1/2021 14:17,9/1/2021 14:29,70246,741,1060,Penn Ave & 29th St,49671,9th St & Penn Ave,Customer
127006178,9/1/2021 14:25,9/1/2021 14:33,70771,475,49781,Fifth Ave & Miltenberger St,1002,Third Ave & Wood St,Customer
127006414,9/1/2021 14:27,9/1/2021 14:35,70983,476,1002,Third Ave & Wood St,1007,Stevenson St & Forbes Ave,Subscriber
127007264,9/1/2021 14:36,9/1/2021 14:49,70926,762,1032,Walnut St & College St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
127007520,9/1/2021 14:39,9/1/2021 15:07,70818,1676,1048,S 18th St & Sidney St,,BIKE 70818,Subscriber
127007686,9/1/2021 14:41,9/1/2021 14:48,70322,402,1035,Fifth Ave & S Dithridge St,1093,S Bouquet Ave & Sennott St,Subscriber
127008077,9/1/2021 14:45,9/1/2021 15:00,70624,846,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Subscriber
127008094,9/1/2021 14:46,9/1/2021 14:51,70532,323,1068,Forbes Ave & Murray Ave,1068,Forbes Ave & Murray Ave,Subscriber
127009329,9/1/2021 15:01,9/1/2021 15:16,70926,939,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1032,Walnut St & College St,Subscriber
127009442,9/1/2021 15:02,9/2/2021 7:48,70167,60346,1050,Healthy Ride Hub,1061,33rd St & Penn Ave ,Customer
127009479,9/1/2021 15:02,9/1/2021 15:11,70780,530,1088,Frazier St & Dawson St,1093,S Bouquet Ave & Sennott St,Subscriber
127010351,9/1/2021 15:14,9/1/2021 15:21,70552,408,1084,Hot Metal St & Tunnel Blvd,1084,Hot Metal St & Tunnel Blvd,Customer
127010755,9/1/2021 15:19,9/1/2021 15:36,70818,1017,,BIKE 70818,1060,Penn Ave & 29th St,Subscriber
127010838,9/1/2021 15:20,9/1/2021 17:04,70190,6220,1084,Hot Metal St & Tunnel Blvd,,BIKE 70190,Customer
127010990,9/1/2021 15:23,9/1/2021 15:59,70470,2186,1084,Hot Metal St & Tunnel Blvd,,BIKE 70470,Customer
127011146,9/1/2021 15:24,9/1/2021 15:35,70620,628,49391,E Liberty Blvd & Negley Ave,1027,Shady Ave & Ellsworth Ave,Subscriber
127011216,9/1/2021 15:25,9/1/2021 15:38,70401,770,1086,Technology Dr & Bates St ,1072,Glasshouse,Subscriber
127011296,9/1/2021 15:27,9/1/2021 15:31,70347,246,1047,S 22nd St & E Carson St,1045,S 27th St & Sidney St. (Southside Works),Customer
127011369,9/1/2021 15:28,9/1/2021 15:34,70638,360,1094,O'Hara St & Desoto St,49301,Centre Ave & N Craig St,Subscriber
127011402,9/1/2021 15:28,9/1/2021 15:40,70662,719,1072,Glasshouse,1048,S 18th St & Sidney St,Subscriber
127012232,9/1/2021 15:40,9/1/2021 15:57,71176,1006,1099,Forbes Ave & S Craig St,,BIKE 71176,Customer
127012695,9/1/2021 15:48,9/1/2021 16:27,71189,2336,1024,S Negley Ave & Baum Blvd,1043,S Millvale Ave & Centre Ave,Customer
127012744,9/1/2021 15:49,9/1/2021 15:58,70505,571,1088,Frazier St & Dawson St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Customer
127012769,9/1/2021 15:49,9/1/2021 16:03,70746,811,1094,O'Hara St & Desoto St,1033,Ivy St & Walnut St   ,Subscriber
127012970,9/1/2021 15:52,9/1/2021 16:00,70620,454,1027,Shady Ave & Ellsworth Ave,49371,E Liberty Blvd & Larimer Ave,Subscriber
127013436,9/1/2021 16:00,9/1/2021 16:07,70565,395,1094,O'Hara St & Desoto St,1091,Semple St & Louisa St,Subscriber
127013536,9/1/2021 16:02,9/1/2021 16:10,70638,472,49301,Centre Ave & N Craig St,1097,Tennyson Ave & Fifth Ave,Subscriber
127013556,9/1/2021 16:02,9/1/2021 16:15,70620,761,49371,E Liberty Blvd & Larimer Ave,49371,E Liberty Blvd & Larimer Ave,Subscriber
127013605,9/1/2021 16:03,9/1/2021 16:13,70779,573,49641,11th St & Penn Ave,1060,Penn Ave & 29th St,Subscriber
127013648,9/1/2021 16:04,9/1/2021 16:15,70505,702,1095,Schenley Dr & Forbes Ave (Schenley Plaza),49301,Centre Ave & N Craig St,Subscriber
127014009,9/1/2021 16:08,9/1/2021 16:20,70778,719,1041,Fifth Ave & S Bouquet St,1024,S Negley Ave & Baum Blvd,Subscriber
127014103,9/1/2021 16:10,9/1/2021 16:25,70791,928,1048,S 18th St & Sidney St,1072,Glasshouse,Subscriber
127014146,9/1/2021 16:10,9/1/2021 16:18,70780,460,1093,S Bouquet Ave & Sennott St,1044,Zulema St & Coltart Ave,Subscriber
127014197,9/1/2021 16:11,9/1/2021 16:19,70864,465,1043,S Millvale Ave & Centre Ave,,BIKE 70864,Subscriber
127014408,9/1/2021 16:14,9/1/2021 16:27,70684,778,1068,Forbes Ave & Murray Ave,1024,S Negley Ave & Baum Blvd,Customer
127014417,9/1/2021 16:14,9/1/2021 16:23,70322,523,1093,S Bouquet Ave & Sennott St,49301,Centre Ave & N Craig St,Subscriber
127014427,9/1/2021 16:15,9/1/2021 16:28,70707,793,1039,Atwood St & Bates St,1039,Atwood St & Bates St,Subscriber
127014648,9/1/2021 16:18,9/1/2021 16:21,70950,205,1094,O'Hara St & Desoto St,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Subscriber
127014664,9/1/2021 16:18,9/1/2021 16:28,70620,622,49371,E Liberty Blvd & Larimer Ave,49391,E Liberty Blvd & Negley Ave,Subscriber
127014704,9/1/2021 16:19,9/1/2021 16:38,70835,1198,1002,Third Ave & Wood St,1002,Third Ave & Wood St,Subscriber
127015095,9/1/2021 16:25,9/1/2021 16:28,70864,196,,BIKE 70864,1034,Ellsworth Ave & N Neville St,Subscriber
127015175,9/1/2021 16:26,9/1/2021 16:36,70841,610,1024,S Negley Ave & Baum Blvd,49401,Stanton Ave & N Negley Ave,Subscriber
127015316,9/1/2021 16:28,9/1/2021 16:36,70825,445,49731,Ross St & Fourth Ave,1000,Liberty Ave & Stanwix St,Subscriber
127015354,9/1/2021 16:29,9/1/2021 16:34,70848,261,1041,Fifth Ave & S Bouquet St,1044,Zulema St & Coltart Ave,Subscriber
127015681,9/1/2021 16:35,9/1/2021 17:13,70707,2270,1039,Atwood St & Bates St,49951,Butler St & 36th St,Subscriber
127015698,9/1/2021 16:36,9/1/2021 16:46,70375,645,1068,Forbes Ave & Murray Ave,1033,Ivy St & Walnut St   ,Subscriber
127015761,9/1/2021 16:37,9/1/2021 20:46,70590,14932,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1040,O'Hara St and University Place (Soldiers and Sailors Memorial),Customer
127015797,9/1/2021 16:37,9/1/2021 16:53,70763,948,1040,O'Hara St and University Place (Soldiers and Sailors Memorial),1033,Ivy St & Walnut St   ,Subscriber
127016001,9/1/2021 16:42,9/1/2021 16:56,70904,837,1091,Semple St & Louisa St,1091,Semple St & Louisa St,Subscriber
127016242,9/1/2021 16:48,9/1/2021 16:54,70711,375,1037,Frew St & Schenley Dr,1095,Schenley Dr & Forbes Ave (Schenley Plaza),Customer
127016606,9/1/2021 16:56,9/1/2021 17:17,70401,1222,1072,Glasshouse,1002,Third Ave & Wood St,Customer
127016837,9/1/2021 17:02,9/1/2021 17:34,70339,1945,49441,Roup Ave & Friendship Ave,,BIKE 70339,Customer
127016935,9/1/2021 17:04,9/1/2021 17:16,70631,695,1072,Glasshouse,1002,Third Ave & Wood St,Customer
127016972,9/1/2021 17:05,9/1/2021 17:10,70956,294,1093,S Bouquet Ave & Sennott St,1093,S Bouquet Ave & Sennott St,Subscriber
127017075,9/1/2021 17:08,9/2/2021 13:07,70995,71976,1008,Centre Ave & PPG Paints Arena,49781,Fifth Ave & Miltenberger St,Customer
127017085,9/1/2021 17:08,9/1/2021 17:54,70190,2752,,BIKE 70190,1084,Hot Metal St & Tunnel Blvd,Customer
127017198,9/1/2021 17:10,9/1/2021 17:17,70932,395,1015,Federal St & E North Ave,49671,9th St & Penn Ave,Subscriber
127017267,9/1/2021 17:12,9/1/2021 17:29,70105,1059,1028,Penn Ave & Putnam St (Bakery Square),1093,S Bouquet Ave & Sennott St,Subscriber
127017380,9/1/2021 17:15,9/1/2021 17:22,70954,447,49561,Butler St & 48th St,1061,33rd St & Penn Ave ,Subscriber
127017457,9/1/2021 17:16,9/1/2021 17:25,70711,524,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1038,Boulevard of the Allies & Parkview Ave,Subscriber
127017532,9/1/2021 17:18,9/1/2021 17:37,70791,1121,1072,Glasshouse,1072,Glasshouse,Subscriber
